date,wm_yr_wk,weekday,wday,month,year,d,event_name_1,event_type_1,event_name_2,event_type_2,snap_CA,snap_TX,snap_WI,week,day
2011-01-29,11101,Saturday,1,1,2011,d_1,No Event,No Event,No Event,No Event,0,0,0,4,29
2011-01-30,11101,Sunday,2,1,2011,d_2,No Event,No Event,No Event,No Event,0,0,0,4,30
2011-01-31,11101,Monday,3,1,2011,d_3,No Event,No Event,No Event,No Event,0,0,0,5,31
2011-02-01,11101,Tuesday,4,2,2011,d_4,No Event,No Event,No Event,No Event,1,1,0,5,1
2011-02-02,11101,Wednesday,5,2,2011,d_5,No Event,No Event,No Event,No Event,1,0,1,5,2
2011-02-03,11101,Thursday,6,2,2011,d_6,No Event,No Event,No Event,No Event,1,1,1,5,3
2011-02-04,11101,Friday,7,2,2011,d_7,No Event,No Event,No Event,No Event,1,0,0,5,4
2011-02-05,11102,Saturday,1,2,2011,d_8,No Event,No Event,No Event,No Event,1,1,1,5,5
2011-02-06,11102,Sunday,2,2,2011,d_9,SuperBowl,Sporting,No Event,No Event,1,1,1,5,6
2011-02-07,11102,Monday,3,2,2011,d_10,No Event,No Event,No Event,No Event,1,1,0,6,7
2011-02-08,11102,Tuesday,4,2,2011,d_11,No Event,No Event,No Event,No Event,1,0,1,6,8
2011-02-09,11102,Wednesday,5,2,2011,d_12,No Event,No Event,No Event,No Event,1,1,1,6,9
2011-02-10,11102,Thursday,6,2,2011,d_13,No Event,No Event,No Event,No Event,1,0,0,6,10
2011-02-11,11102,Friday,7,2,2011,d_14,No Event,No Event,No Event,No Event,0,1,1,6,11
2011-02-12,11103,Saturday,1,2,2011,d_15,No Event,No Event,No Event,No Event,0,1,1,6,12
2011-02-13,11103,Sunday,2,2,2011,d_16,No Event,No Event,No Event,No Event,0,1,0,6,13
2011-02-14,11103,Monday,3,2,2011,d_17,ValentinesDay,Cultural,No Event,No Event,0,0,1,7,14
2011-02-15,11103,Tuesday,4,2,2011,d_18,No Event,No Event,No Event,No Event,0,1,1,7,15
2011-02-16,11103,Wednesday,5,2,2011,d_19,No Event,No Event,No Event,No Event,0,0,0,7,16
2011-02-17,11103,Thursday,6,2,2011,d_20,No Event,No Event,No Event,No Event,0,0,0,7,17
2011-02-18,11103,Friday,7,2,2011,d_21,No Event,No Event,No Event,No Event,0,0,0,7,18
2011-02-19,11104,Saturday,1,2,2011,d_22,No Event,No Event,No Event,No Event,0,0,0,7,19
2011-02-20,11104,Sunday,2,2,2011,d_23,No Event,No Event,No Event,No Event,0,0,0,7,20
2011-02-21,11104,Monday,3,2,2011,d_24,PresidentsDay,National,No Event,No Event,0,0,0,8,21
2011-02-22,11104,Tuesday,4,2,2011,d_25,No Event,No Event,No Event,No Event,0,0,0,8,22
2011-02-23,11104,Wednesday,5,2,2011,d_26,No Event,No Event,No Event,No Event,0,0,0,8,23
2011-02-24,11104,Thursday,6,2,2011,d_27,No Event,No Event,No Event,No Event,0,0,0,8,24
2011-02-25,11104,Friday,7,2,2011,d_28,No Event,No Event,No Event,No Event,0,0,0,8,25
