id,item,store,department,category,state_id,d,date,sales,event,event_type_1,event_name_2,event_type_2,weekday,month,year,week,day
HOBBIES_1_001_CA_1_validation,HOBBIES_1_001,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,0,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_002_CA_1_validation,HOBBIES_1_002,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,0,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_003_CA_1_validation,HOBBIES_1_003,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,0,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_004_CA_1_validation,HOBBIES_1_004,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,0,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_005_CA_1_validation,HOBBIES_1_005,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,0,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_006_CA_1_validation,HOBBIES_1_006,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,0,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_007_CA_1_validation,HOBBIES_1_007,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,0,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_008_CA_1_validation,HOBBIES_1_008,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,12,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_009_CA_1_validation,HOBBIES_1_009,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,2,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_010_CA_1_validation,HOBBIES_1_010,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,0,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_011_CA_1_validation,HOBBIES_1_011,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,0,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_012_CA_1_validation,HOBBIES_1_012,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,0,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_013_CA_1_validation,HOBBIES_1_013,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,0,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_014_CA_1_validation,HOBBIES_1_014,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,0,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_015_CA_1_validation,HOBBIES_1_015,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,4,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_016_CA_1_validation,HOBBIES_1_016,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,5,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_017_CA_1_validation,HOBBIES_1_017,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,0,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_018_CA_1_validation,HOBBIES_1_018,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,0,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_019_CA_1_validation,HOBBIES_1_019,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,0,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_020_CA_1_validation,HOBBIES_1_020,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,0,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_021_CA_1_validation,HOBBIES_1_021,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,0,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_022_CA_1_validation,HOBBIES_1_022,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,2,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_023_CA_1_validation,HOBBIES_1_023,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,2,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_024_CA_1_validation,HOBBIES_1_024,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,0,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_025_CA_1_validation,HOBBIES_1_025,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,0,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_026_CA_1_validation,HOBBIES_1_026,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,0,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_027_CA_1_validation,HOBBIES_1_027,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,0,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_028_CA_1_validation,HOBBIES_1_028,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,0,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_029_CA_1_validation,HOBBIES_1_029,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,2,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_030_CA_1_validation,HOBBIES_1_030,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,0,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_031_CA_1_validation,HOBBIES_1_031,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,0,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_032_CA_1_validation,HOBBIES_1_032,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,9,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
HOBBIES_1_033_CA_1_validation,HOBBIES_1_033,CA_1,HOBBIES_1,HOBBIES,CA,d_1,2011-01-29,0,No Event,No Event,No Event,No Event,Saturday,1,2011,4,29
