item_id,store_id,average_daily_demand,demand_std,demand_records,safety_stock,service_level,z_score,lead_time_days,lead_time_demand,reorder_point,inventory_level,forecast_demand,forecast_daily_average,forecast_peak_demand,forecast_horizon_demand,recommended_inventory,target_inventory,inventory_buffer,recommended_action,forecast_horizon_days
HOBBIES_1_209,CA_3,6.56,6.89,1857,30.0,0.95,1.645,7,45.92,75.92,High,181.9,6.5,10.15,45.48,75.48,75.92,30.44,Maintain High Stock,7
FOODS_1_021,CA_1,3.9,6.58,1857,28.63,0.95,1.645,7,27.3,55.93,High,56.67,2.02,3.67,14.17,42.8,55.93,41.76,Maintain High Stock,7
HOBBIES_1_209,CA_2,4.15,5.5,1857,23.95,0.95,1.645,7,29.05,53.0,High,97.59,3.49,6.49,24.4,48.35,53.0,28.6,Maintain High Stock,7
HOBBIES_1_209,CA_1,3.29,4.27,1857,18.57,0.95,1.645,7,23.03,41.6,High,110.37,3.94,6.51,27.59,46.16,46.16,18.57,Maintain High Stock,7
HOBBIES_1_209,TX_1,2.16,5.8,1857,25.25,0.95,1.645,7,15.12,40.37,High,65.02,2.32,4.13,16.25,41.5,41.5,25.25,Maintain High Stock,7
FOODS_1_021,WI_1,2.8,3.92,1857,17.04,0.95,1.645,7,19.6,36.64,High,55.5,1.98,4.27,13.88,30.92,36.64,22.76,Maintain High Stock,7
HOUSEHOLD_1_370,CA_3,2.6,2.04,1857,8.87,0.95,1.645,7,18.2,27.07,High,99.84,3.57,5.02,24.96,33.83,33.83,8.87,Maintain High Stock,7
FOODS_2_035,CA_3,1.13,1.92,1857,8.34,0.95,1.645,7,7.91,16.25,High,99.47,3.55,5.38,24.87,33.21,33.21,8.34,Maintain High Stock,7
FOODS_1_021,CA_2,1.88,2.98,1857,12.99,0.95,1.645,7,13.16,26.15,High,77.82,2.78,4.24,19.46,32.45,32.45,12.99,Maintain High Stock,7
HOBBIES_1_209,TX_2,2.43,3.49,1857,15.17,0.95,1.645,7,17.01,32.18,High,67.61,2.41,4.23,16.9,32.07,32.18,15.28,Maintain High Stock,7
HOBBIES_1_209,WI_2,1.52,3.55,1857,15.45,0.95,1.645,7,10.64,26.09,High,63.56,2.27,3.56,15.89,31.34,31.34,15.45,Maintain High Stock,7
HOUSEHOLD_1_100,CA_3,2.9,2.24,1857,9.74,0.95,1.645,7,20.3,30.04,High,24.1,0.86,2.59,6.03,15.77,30.04,24.01,Maintain High Stock,7
HOBBIES_1_209,WI_3,2.07,2.78,1857,12.11,0.95,1.645,7,14.49,26.6,High,69.75,2.49,3.57,17.44,29.55,29.55,12.11,Maintain High Stock,7
HOUSEHOLD_1_370,CA_2,2.22,1.96,1857,8.54,0.95,1.645,7,15.54,24.08,High,82.78,2.96,4.3,20.69,29.23,29.23,8.54,Maintain High Stock,7
HOUSEHOLD_1_370,WI_2,1.66,1.68,1857,7.31,0.95,1.645,7,11.62,18.93,High,84.45,3.02,3.73,21.11,28.42,28.42,7.31,Maintain High Stock,7
FOODS_1_021,CA_4,1.62,2.62,1857,11.4,0.95,1.645,7,11.34,22.74,High,66.69,2.38,4.68,16.67,28.07,28.07,11.4,Maintain High Stock,7
HOBBIES_1_209,WI_1,1.69,2.26,1857,9.83,0.95,1.645,7,11.83,21.66,High,59.13,2.11,3.48,14.78,24.61,24.61,9.83,Maintain High Stock,7
HOUSEHOLD_1_489,CA_3,0.38,1.25,1857,5.44,0.95,1.645,7,2.66,8.1,Medium,74.28,2.65,3.54,18.57,24.01,24.01,5.44,Maintain Stock,7
HOBBIES_1_209,TX_3,1.57,2.9,1857,12.61,0.95,1.645,7,10.99,23.6,High,26.22,0.94,1.71,6.55,19.16,23.6,17.05,Maintain High Stock,7
HOUSEHOLD_1_290,WI_2,0.8,1.75,1857,7.63,0.95,1.645,7,5.6,13.23,Medium,61.76,2.21,3.36,15.44,23.07,23.07,7.63,Maintain Stock,7
FOODS_2_035,WI_2,0.83,1.54,1857,6.72,0.95,1.645,7,5.81,12.53,Medium,59.66,2.13,2.89,14.92,21.64,21.64,6.72,Maintain Stock,7
FOODS_2_035,CA_2,0.37,1.09,1857,4.73,0.95,1.645,7,2.59,7.32,Medium,64.17,2.29,3.31,16.04,20.77,20.77,4.73,Maintain Stock,7
HOUSEHOLD_1_370,WI_1,1.81,1.72,1857,7.47,0.95,1.645,7,12.67,20.14,High,37.13,1.33,1.93,9.28,16.75,20.14,10.86,Maintain High Stock,7
FOODS_1_021,CA_3,1.14,1.81,1857,7.89,0.95,1.645,7,7.98,15.87,High,48.82,1.74,2.45,12.21,20.1,20.1,7.89,Maintain High Stock,7
FOODS_2_035,TX_2,0.5,1.12,1857,4.87,0.95,1.645,7,3.5,8.37,Medium,58.61,2.09,2.6,14.65,19.52,19.52,4.87,Maintain Stock,7
FOODS_2_035,TX_3,0.71,1.22,1857,5.31,0.95,1.645,7,4.97,10.28,Medium,54.09,1.93,2.41,13.52,18.83,18.83,5.31,Maintain Stock,7
HOUSEHOLD_1_290,TX_3,1.2,1.52,1857,6.6,0.95,1.645,7,8.4,15.0,Medium,47.85,1.71,2.38,11.96,18.56,18.56,6.6,Maintain Stock,7
HOUSEHOLD_1_100,CA_1,1.63,1.51,1857,6.57,0.95,1.645,7,11.41,17.98,High,17.4,0.62,1.63,4.35,10.92,17.98,13.63,Maintain High Stock,7
HOUSEHOLD_1_290,TX_1,1.32,1.64,1857,7.15,0.95,1.645,7,9.24,16.39,High,42.66,1.52,2.07,10.66,17.81,17.81,7.15,Maintain High Stock,7
HOUSEHOLD_2_442,CA_2,1.2,1.35,1857,5.88,0.95,1.645,7,8.4,14.28,Medium,46.27,1.65,2.78,11.57,17.45,17.45,5.88,Maintain Stock,7
FOODS_2_035,WI_3,0.62,1.21,1857,5.25,0.95,1.645,7,4.34,9.59,Medium,45.98,1.64,2.13,11.5,16.75,16.75,5.25,Maintain Stock,7
HOUSEHOLD_1_370,CA_1,1.42,1.45,1857,6.3,0.95,1.645,7,9.94,16.24,High,41.79,1.49,2.22,10.45,16.75,16.75,6.3,Maintain High Stock,7
HOUSEHOLD_1_290,CA_3,0.56,1.49,1857,6.47,0.95,1.645,7,3.92,10.39,Medium,39.9,1.43,2.01,9.98,16.45,16.45,6.47,Maintain Stock,7
HOUSEHOLD_2_442,CA_1,1.17,1.39,1857,6.04,0.95,1.645,7,8.19,14.23,Medium,41.45,1.48,2.41,10.36,16.4,16.4,6.04,Maintain Stock,7
HOUSEHOLD_1_489,TX_1,0.36,1.08,1857,4.72,0.95,1.645,7,2.52,7.24,Medium,45.51,1.63,3.24,11.38,16.1,16.1,4.72,Maintain Stock,7
HOUSEHOLD_2_442,CA_3,1.29,1.58,1857,6.86,0.95,1.645,7,9.03,15.89,High,31.12,1.11,1.67,7.78,14.64,15.89,8.11,Maintain High Stock,7
HOUSEHOLD_1_290,WI_3,1.15,1.62,1857,7.07,0.95,1.645,7,8.05,15.12,High,33.43,1.19,1.61,8.36,15.43,15.43,7.07,Maintain High Stock,7
HOUSEHOLD_1_100,CA_2,1.3,1.32,1857,5.73,0.95,1.645,7,9.1,14.83,Medium,10.6,0.38,0.81,2.65,8.38,14.83,12.18,Maintain Stock,7
HOUSEHOLD_1_370,WI_3,1.24,1.38,1857,6.01,0.95,1.645,7,8.68,14.69,Medium,28.66,1.02,1.35,7.16,13.17,14.69,7.53,Maintain Stock,7
HOUSEHOLD_1_489,TX_2,0.3,0.89,1857,3.87,0.95,1.645,7,2.1,5.97,Medium,42.76,1.53,2.28,10.69,14.56,14.56,3.87,Maintain Stock,7
FOODS_1_021,WI_2,0.96,1.69,1857,7.34,0.95,1.645,7,6.72,14.06,Medium,28.04,1.0,1.48,7.01,14.35,14.35,7.34,Maintain Stock,7
FOODS_1_021,WI_3,0.91,1.62,1857,7.06,0.95,1.645,7,6.37,13.43,Medium,28.91,1.03,1.86,7.23,14.29,14.29,7.06,Maintain Stock,7
HOUSEHOLD_1_290,TX_2,0.73,1.19,1857,5.2,0.95,1.645,7,5.11,10.31,Medium,35.93,1.28,2.06,8.98,14.18,14.18,5.2,Maintain Stock,7
HOUSEHOLD_2_442,WI_1,0.97,1.16,1857,5.07,0.95,1.645,7,6.79,11.86,Medium,34.09,1.22,1.88,8.52,13.59,13.59,5.07,Maintain Stock,7
