item_id,store_id,total_demand,average_demand,maximum_demand
HOBBIES_1_209,CA_3,12738,6.6586513329848405,72
HOBBIES_1_209,CA_2,8040,4.202822791427078,54
FOODS_1_021,CA_1,7287,3.8092002090956614,48
HOBBIES_1_209,CA_1,6376,3.332984840564558,43
HOUSEHOLD_1_100,CA_3,5526,2.888656560376372,13
FOODS_1_021,WI_1,5238,2.7381076842655516,29
HOUSEHOLD_1_370,CA_3,4980,2.603240982749608,14
HOBBIES_1_209,TX_2,4714,2.464192368008364,40
HOUSEHOLD_1_370,CA_2,4293,2.2441191845269213,15
HOBBIES_1_209,TX_1,4158,2.173549398849974,183
HOBBIES_1_209,WI_3,4056,2.1202300052273917,28
FOODS_1_021,CA_2,3550,1.8557239937271301,48
HOUSEHOLD_1_370,WI_1,3475,1.8165185572399374,13
HOBBIES_1_209,WI_1,3288,1.7187663355985363,36
HOUSEHOLD_1_370,WI_2,3198,1.671719811813905,10
FOODS_1_021,CA_4,3063,1.6011500261369576,31
HOUSEHOLD_1_100,CA_1,3062,1.6006272869837952,10
HOBBIES_1_209,TX_3,3027,1.582331416623105,48
HOBBIES_1_209,WI_2,2915,1.523784631468897,48
HOUSEHOLD_1_370,CA_1,2722,1.4228959749085206,7
HOUSEHOLD_1_290,TX_1,2502,1.3078933612127548,12
HOUSEHOLD_1_100,CA_2,2479,1.2958703606900157,8
HOUSEHOLD_2_442,CA_3,2417,1.2634605331939361,11
HOUSEHOLD_1_370,WI_3,2396,1.2524830109775222,10
HOUSEHOLD_1_290,TX_3,2297,1.2007318348144276,10
HOUSEHOLD_2_442,CA_2,2279,1.1913225300575012,9
HOUSEHOLD_2_442,CA_1,2206,1.1531625718766336,10
FOODS_2_035,CA_3,2186,1.142707788813382,13
HOUSEHOLD_1_290,WI_3,2165,1.1317302665969682,15
HOUSEHOLD_1_370,TX_2,2159,1.1285938316779927,8
FOODS_1_021,CA_3,2148,1.1228437009932044,18
HOUSEHOLD_1_100,TX_2,2088,1.09147935180345,8
HOUSEHOLD_2_442,WI_1,1858,0.9712493465760585,7
HOUSEHOLD_1_100,WI_3,1848,0.9660219550444328,7
FOODS_1_021,WI_2,1801,0.9414532148457919,14
HOUSEHOLD_1_100,TX_3,1787,0.9341348667015159,7
FOODS_1_021,WI_3,1715,0.8964976476738108,14
HOUSEHOLD_1_370,CA_4,1705,0.891270256142185,6
HOUSEHOLD_2_442,WI_3,1649,0.861996863565081,8
HOUSEHOLD_2_442,TX_2,1623,0.8484056455828541,5
FOODS_2_035,WI_2,1597,0.8348144276006273,11
HOUSEHOLD_1_290,WI_2,1547,0.8086774699424987,15
HOUSEHOLD_1_370,TX_3,1525,0.7971772085729221,6
HOUSEHOLD_1_100,WI_1,1444,0.7548353371667538,6
HOUSEHOLD_1_290,TX_2,1393,0.7281756403554627,8
HOUSEHOLD_1_370,TX_1,1385,0.7239937271301621,14
FOODS_2_035,TX_3,1369,0.7156299006795609,7
HOUSEHOLD_2_442,WI_2,1305,0.6821745948771563,6
FOODS_2_035,WI_3,1201,0.6278097229482488,9
HOUSEHOLD_2_442,TX_1,1178,0.6157867224255097,5
HOUSEHOLD_2_442,TX_3,1121,0.5859905906952431,16
FOODS_1_021,TX_3,1117,0.5838996340825928,13
HOUSEHOLD_1_100,TX_1,1101,0.5755358076319916,6
FOODS_1_021,TX_2,1097,0.5734448510193414,12
HOUSEHOLD_1_290,CA_3,1092,0.5708311552535285,12
HOBBIES_1_022,CA_3,1073,0.5608991113434396,5
HOBBIES_1_022,CA_2,1039,0.5431259801359122,5
FOODS_2_035,TX_2,995,0.520125457396759,10
FOODS_2_035,CA_1,977,0.5107161526398327,7
HOBBIES_1_022,WI_3,971,0.5075797177208573,5
HOBBIES_1_022,TX_2,884,0.46210141139571353,4
HOUSEHOLD_1_290,CA_1,863,0.4511238891792995,8
HOUSEHOLD_1_100,WI_2,805,0.42080501829587036,4
FOODS_2_035,TX_1,795,0.41557762676424465,5
HOBBIES_1_022,WI_1,776,0.40564558285415575,4
HOUSEHOLD_1_489,CA_3,765,0.3998954521693675,11
FOODS_2_035,CA_2,757,0.3957135389440669,9
HOBBIES_1_022,WI_2,719,0.3758494511238892,5
FOODS_2_035,CA_4,719,0.3758494511238892,6
HOUSEHOLD_1_489,TX_1,710,0.37114479874542605,8
HOUSEHOLD_1_100,CA_4,704,0.3680083638264506,4
FOODS_1_021,TX_1,668,0.349189754312598,15
HOBBIES_1_022,CA_1,653,0.3413486670151594,5
HOBBIES_1_209,CA_4,647,0.338212232096184,16
HOUSEHOLD_2_442,CA_4,637,0.3329848405645583,5
FOODS_3_180,WI_1,608,0.3178254051228437,6
HOUSEHOLD_1_489,TX_2,604,0.3157344485101934,7
HOUSEHOLD_1_290,CA_2,576,0.3010977522216414,7
FOODS_3_180,WI_2,560,0.29273392577104024,9
HOBBIES_1_022,TX_3,554,0.2895974908520648,4
FOODS_2_035,WI_1,503,0.26293779404077366,4
HOUSEHOLD_1_489,CA_2,497,0.25980135912179825,7
HOUSEHOLD_1_290,WI_1,484,0.25300575013068477,7
HOBBIES_1_022,TX_1,475,0.24830109775222164,4
HOUSEHOLD_1_489,CA_1,442,0.23105070569785677,6
HOUSEHOLD_1_489,TX_3,424,0.2216414009409305,6
HOBBIES_2_041,CA_3,407,0.21275483533716674,22
HOBBIES_2_041,TX_2,370,0.1934134866701516,7
FOODS_3_180,CA_3,369,0.19289074751698904,4
HOBBIES_2_041,CA_2,367,0.1918452692106639,24
HOBBIES_2_113,CA_3,340,0.17773131207527443,4
HOBBIES_2_113,CA_1,339,0.17720857292211187,4
FOODS_3_180,CA_1,337,0.17616309461578672,4
HOBBIES_2_113,TX_2,333,0.17407213800313642,4
FOODS_3_260,CA_1,328,0.17145844223732357,9
HOUSEHOLD_1_489,WI_2,323,0.1688447464715107,5
HOUSEHOLD_1_290,CA_4,319,0.16675378985886044,4
HOUSEHOLD_1_489,WI_3,316,0.1651855723993727,6
FOODS_3_180,WI_3,300,0.15682174594877157,3
HOUSEHOLD_1_489,CA_4,287,0.15002613695765812,9
HOBBIES_2_041,CA_1,277,0.1447987454260324,10
HOBBIES_2_113,TX_1,264,0.138003136434919,6
HOBBIES_2_113,WI_1,257,0.13434396236278098,4
HOBBIES_2_113,TX_3,244,0.12754835337166753,6
FOODS_3_260,WI_1,244,0.12754835337166753,5
HOUSEHOLD_1_489,WI_1,229,0.11970726607422896,5
FOODS_3_180,CA_4,225,0.11761630946157867,3
HOBBIES_2_113,CA_2,222,0.11604809200209096,4
HOBBIES_2_113,WI_2,222,0.11604809200209096,8
FOODS_3_180,TX_2,215,0.11238891792995295,8
HOBBIES_1_022,CA_4,213,0.1113434396236278,3
HOBBIES_2_113,WI_3,212,0.11082070047046524,4
FOODS_3_180,CA_2,181,0.09461578672242552,7
HOBBIES_2_041,WI_2,173,0.09043387349712494,4
FOODS_3_260,TX_2,154,0.08050182958703607,12
FOODS_3_260,WI_2,149,0.07788813382122321,3
FOODS_3_260,CA_4,141,0.07370622059592263,7
HOBBIES_2_041,TX_1,135,0.0705697856769472,6
FOODS_3_260,CA_3,129,0.06743335075797177,9
HOBBIES_2_041,TX_3,124,0.06481965499215891,5
HOBBIES_2_113,CA_4,123,0.06429691583899634,3
HOBBIES_2_041,CA_4,113,0.05906952430737062,5
HOBBIES_2_041,WI_1,106,0.05541035023523262,8
FOODS_3_260,CA_2,100,0.052273915316257184,7
FOODS_3_180,TX_3,79,0.041296393099843176,3
HOBBIES_2_041,WI_3,77,0.040250914793518035,3
