item_id,store_id,average_daily_demand,demand_std,demand_records,safety_stock,service_level,z_score,lead_time_days,lead_time_demand,reorder_point,inventory_level
HOBBIES_1_209,CA_3,6.56,6.89,1857,30.0,0.95,1.645,7,45.92,75.92,High
FOODS_1_021,CA_1,3.9,6.58,1857,28.63,0.95,1.645,7,27.3,55.93,High
HOBBIES_1_209,CA_2,4.15,5.5,1857,23.95,0.95,1.645,7,29.05,53.0,High
HOBBIES_1_209,CA_1,3.29,4.27,1857,18.57,0.95,1.645,7,23.03,41.6,High
HOBBIES_1_209,TX_1,2.16,5.8,1857,25.25,0.95,1.645,7,15.12,40.37,High
FOODS_1_021,WI_1,2.8,3.92,1857,17.04,0.95,1.645,7,19.6,36.64,High
HOBBIES_1_209,TX_2,2.43,3.49,1857,15.17,0.95,1.645,7,17.01,32.18,High
HOUSEHOLD_1_100,CA_3,2.9,2.24,1857,9.74,0.95,1.645,7,20.3,30.04,High
HOUSEHOLD_1_370,CA_3,2.6,2.04,1857,8.87,0.95,1.645,7,18.2,27.07,High
HOBBIES_1_209,WI_3,2.07,2.78,1857,12.11,0.95,1.645,7,14.49,26.6,High
FOODS_1_021,CA_2,1.88,2.98,1857,12.99,0.95,1.645,7,13.16,26.15,High
HOBBIES_1_209,WI_2,1.52,3.55,1857,15.45,0.95,1.645,7,10.64,26.09,High
HOUSEHOLD_1_370,CA_2,2.22,1.96,1857,8.54,0.95,1.645,7,15.54,24.08,High
HOBBIES_1_209,TX_3,1.57,2.9,1857,12.61,0.95,1.645,7,10.99,23.6,High
FOODS_1_021,CA_4,1.62,2.62,1857,11.4,0.95,1.645,7,11.34,22.74,High
HOBBIES_1_209,WI_1,1.69,2.26,1857,9.83,0.95,1.645,7,11.83,21.66,High
HOUSEHOLD_1_370,WI_1,1.81,1.72,1857,7.47,0.95,1.645,7,12.67,20.14,High
HOUSEHOLD_1_370,WI_2,1.66,1.68,1857,7.31,0.95,1.645,7,11.62,18.93,High
HOUSEHOLD_1_100,CA_1,1.63,1.51,1857,6.57,0.95,1.645,7,11.41,17.98,High
HOUSEHOLD_1_290,TX_1,1.32,1.64,1857,7.15,0.95,1.645,7,9.24,16.39,High
FOODS_2_035,CA_3,1.13,1.92,1857,8.34,0.95,1.645,7,7.91,16.25,High
HOUSEHOLD_1_370,CA_1,1.42,1.45,1857,6.3,0.95,1.645,7,9.94,16.24,High
HOUSEHOLD_2_442,CA_3,1.29,1.58,1857,6.86,0.95,1.645,7,9.03,15.89,High
FOODS_1_021,CA_3,1.14,1.81,1857,7.89,0.95,1.645,7,7.98,15.87,High
HOUSEHOLD_1_290,WI_3,1.15,1.62,1857,7.07,0.95,1.645,7,8.05,15.12,High
HOUSEHOLD_1_290,TX_3,1.2,1.52,1857,6.6,0.95,1.645,7,8.4,15.0,Medium
HOUSEHOLD_1_100,CA_2,1.3,1.32,1857,5.73,0.95,1.645,7,9.1,14.83,Medium
HOUSEHOLD_1_370,WI_3,1.24,1.38,1857,6.01,0.95,1.645,7,8.68,14.69,Medium
HOUSEHOLD_2_442,CA_2,1.2,1.35,1857,5.88,0.95,1.645,7,8.4,14.28,Medium
HOUSEHOLD_2_442,CA_1,1.17,1.39,1857,6.04,0.95,1.645,7,8.19,14.23,Medium
FOODS_1_021,WI_2,0.96,1.69,1857,7.34,0.95,1.645,7,6.72,14.06,Medium
FOODS_1_021,WI_3,0.91,1.62,1857,7.06,0.95,1.645,7,6.37,13.43,Medium
HOUSEHOLD_1_370,TX_2,1.13,1.24,1857,5.38,0.95,1.645,7,7.91,13.29,Medium
HOUSEHOLD_1_290,WI_2,0.8,1.75,1857,7.63,0.95,1.645,7,5.6,13.23,Medium
HOUSEHOLD_1_100,TX_2,1.09,1.15,1857,5.03,0.95,1.645,7,7.63,12.66,Medium
FOODS_2_035,WI_2,0.83,1.54,1857,6.72,0.95,1.645,7,5.81,12.53,Medium
HOUSEHOLD_2_442,WI_1,0.97,1.16,1857,5.07,0.95,1.645,7,6.79,11.86,Medium
HOUSEHOLD_1_100,WI_3,0.95,1.13,1857,4.93,0.95,1.645,7,6.65,11.58,Medium
HOUSEHOLD_1_100,TX_3,0.93,1.06,1857,4.63,0.95,1.645,7,6.51,11.14,Medium
HOUSEHOLD_2_442,WI_3,0.87,1.08,1857,4.72,0.95,1.645,7,6.09,10.81,Medium
HOUSEHOLD_1_370,CA_4,0.89,1.04,1857,4.54,0.95,1.645,7,6.23,10.77,Medium
