item_id,store_id,average_daily_demand,demand_std,demand_records,safety_stock,service_level,z_score,lead_time_days
HOBBIES_1_209,CA_3,6.56,6.89,1857,30.0,0.95,1.645,7
FOODS_1_021,CA_1,3.9,6.58,1857,28.63,0.95,1.645,7
HOBBIES_1_209,TX_1,2.16,5.8,1857,25.25,0.95,1.645,7
HOBBIES_1_209,CA_2,4.15,5.5,1857,23.95,0.95,1.645,7
HOBBIES_1_209,CA_1,3.29,4.27,1857,18.57,0.95,1.645,7
FOODS_1_021,WI_1,2.8,3.92,1857,17.04,0.95,1.645,7
HOBBIES_1_209,WI_2,1.52,3.55,1857,15.45,0.95,1.645,7
HOBBIES_1_209,TX_2,2.43,3.49,1857,15.17,0.95,1.645,7
FOODS_1_021,CA_2,1.88,2.98,1857,12.99,0.95,1.645,7
HOBBIES_1_209,TX_3,1.57,2.9,1857,12.61,0.95,1.645,7
HOBBIES_1_209,WI_3,2.07,2.78,1857,12.11,0.95,1.645,7
FOODS_1_021,CA_4,1.62,2.62,1857,11.4,0.95,1.645,7
HOBBIES_1_209,WI_1,1.69,2.26,1857,9.83,0.95,1.645,7
HOUSEHOLD_1_100,CA_3,2.9,2.24,1857,9.74,0.95,1.645,7
HOUSEHOLD_1_370,CA_3,2.6,2.04,1857,8.87,0.95,1.645,7
HOUSEHOLD_1_370,CA_2,2.22,1.96,1857,8.54,0.95,1.645,7
FOODS_2_035,CA_3,1.13,1.92,1857,8.34,0.95,1.645,7
FOODS_1_021,CA_3,1.14,1.81,1857,7.89,0.95,1.645,7
HOUSEHOLD_1_290,WI_2,0.8,1.75,1857,7.63,0.95,1.645,7
HOUSEHOLD_1_370,WI_1,1.81,1.72,1857,7.47,0.95,1.645,7
FOODS_1_021,WI_2,0.96,1.69,1857,7.34,0.95,1.645,7
HOUSEHOLD_1_370,WI_2,1.66,1.68,1857,7.31,0.95,1.645,7
HOUSEHOLD_1_290,TX_1,1.32,1.64,1857,7.15,0.95,1.645,7
HOUSEHOLD_1_290,WI_3,1.15,1.62,1857,7.07,0.95,1.645,7
FOODS_1_021,WI_3,0.91,1.62,1857,7.06,0.95,1.645,7
HOUSEHOLD_2_442,CA_3,1.29,1.58,1857,6.86,0.95,1.645,7
FOODS_2_035,WI_2,0.83,1.54,1857,6.72,0.95,1.645,7
HOUSEHOLD_1_290,TX_3,1.2,1.52,1857,6.6,0.95,1.645,7
HOUSEHOLD_1_100,CA_1,1.63,1.51,1857,6.57,0.95,1.645,7
HOUSEHOLD_1_290,CA_3,0.56,1.49,1857,6.47,0.95,1.645,7
HOUSEHOLD_1_370,CA_1,1.42,1.45,1857,6.3,0.95,1.645,7
HOBBIES_1_209,CA_4,0.34,1.45,1857,6.3,0.95,1.645,7
HOUSEHOLD_2_442,CA_1,1.17,1.39,1857,6.04,0.95,1.645,7
HOUSEHOLD_1_370,WI_3,1.24,1.38,1857,6.01,0.95,1.645,7
HOUSEHOLD_2_442,CA_2,1.2,1.35,1857,5.88,0.95,1.645,7
HOUSEHOLD_1_100,CA_2,1.3,1.32,1857,5.73,0.95,1.645,7
FOODS_1_021,TX_3,0.6,1.3,1857,5.64,0.95,1.645,7
HOUSEHOLD_1_489,CA_3,0.38,1.25,1857,5.44,0.95,1.645,7
HOUSEHOLD_1_370,TX_2,1.13,1.24,1857,5.38,0.95,1.645,7
FOODS_2_035,TX_3,0.71,1.22,1857,5.31,0.95,1.645,7
FOODS_2_035,WI_3,0.62,1.21,1857,5.25,0.95,1.645,7
HOUSEHOLD_1_290,TX_2,0.73,1.19,1857,5.2,0.95,1.645,7
FOODS_1_021,TX_2,0.59,1.19,1857,5.18,0.95,1.645,7
HOUSEHOLD_2_442,WI_1,0.97,1.16,1857,5.07,0.95,1.645,7
HOUSEHOLD_1_100,TX_2,1.09,1.15,1857,5.03,0.95,1.645,7
HOUSEHOLD_1_100,WI_3,0.95,1.13,1857,4.93,0.95,1.645,7
FOODS_2_035,TX_2,0.5,1.12,1857,4.87,0.95,1.645,7
HOUSEHOLD_2_442,TX_3,0.59,1.1,1857,4.77,0.95,1.645,7
FOODS_2_035,CA_2,0.37,1.09,1857,4.73,0.95,1.645,7
HOUSEHOLD_1_489,TX_1,0.36,1.08,1857,4.72,0.95,1.645,7
HOUSEHOLD_2_442,WI_3,0.87,1.08,1857,4.72,0.95,1.645,7
FOODS_2_035,CA_1,0.51,1.07,1857,4.66,0.95,1.645,7
HOUSEHOLD_1_100,TX_3,0.93,1.06,1857,4.63,0.95,1.645,7
HOUSEHOLD_1_370,CA_4,0.89,1.04,1857,4.54,0.95,1.645,7
HOUSEHOLD_1_370,TX_1,0.72,1.02,1857,4.43,0.95,1.645,7
HOUSEHOLD_2_442,TX_2,0.84,1.01,1857,4.4,0.95,1.645,7
HOUSEHOLD_1_370,TX_3,0.79,0.99,1857,4.29,0.95,1.645,7
HOBBIES_2_041,CA_2,0.18,0.98,1857,4.25,0.95,1.645,7
HOUSEHOLD_2_442,WI_2,0.68,0.97,1857,4.22,0.95,1.645,7
HOUSEHOLD_1_100,WI_1,0.75,0.93,1857,4.03,0.95,1.645,7
HOUSEHOLD_1_290,CA_1,0.45,0.92,1857,4.01,0.95,1.645,7
FOODS_1_021,TX_1,0.35,0.92,1857,4.01,0.95,1.645,7
HOBBIES_2_041,CA_3,0.21,0.9,1857,3.94,0.95,1.645,7
HOUSEHOLD_1_489,TX_2,0.3,0.89,1857,3.87,0.95,1.645,7
HOUSEHOLD_2_442,TX_1,0.63,0.88,1857,3.83,0.95,1.645,7
HOBBIES_1_022,CA_2,0.53,0.82,1857,3.56,0.95,1.645,7
FOODS_2_035,CA_4,0.37,0.81,1857,3.53,0.95,1.645,7
HOUSEHOLD_1_290,CA_2,0.3,0.81,1857,3.51,0.95,1.645,7
HOBBIES_1_022,WI_3,0.5,0.8,1857,3.5,0.95,1.645,7
HOBBIES_1_022,CA_3,0.56,0.8,1857,3.5,0.95,1.645,7
FOODS_2_035,TX_1,0.41,0.8,1857,3.47,0.95,1.645,7
HOUSEHOLD_1_489,CA_2,0.25,0.8,1857,3.46,0.95,1.645,7
HOUSEHOLD_1_100,TX_1,0.56,0.77,1857,3.37,0.95,1.645,7
FOODS_3_180,WI_2,0.29,0.73,1857,3.2,0.95,1.645,7
HOBBIES_1_022,TX_2,0.45,0.73,1857,3.18,0.95,1.645,7
HOUSEHOLD_1_489,TX_3,0.2,0.72,1857,3.15,0.95,1.645,7
HOUSEHOLD_1_290,WI_1,0.25,0.71,1857,3.09,0.95,1.645,7
HOUSEHOLD_1_489,CA_1,0.22,0.71,1857,3.08,0.95,1.645,7
FOODS_3_180,WI_1,0.31,0.71,1857,3.08,0.95,1.645,7
HOBBIES_1_022,WI_1,0.4,0.69,1857,3.0,0.95,1.645,7
HOBBIES_2_041,TX_2,0.19,0.68,1857,2.96,0.95,1.645,7
HOBBIES_1_022,WI_2,0.38,0.68,1857,2.96,0.95,1.645,7
HOUSEHOLD_1_100,WI_2,0.42,0.68,1857,2.95,0.95,1.645,7
HOUSEHOLD_2_442,CA_4,0.33,0.66,1857,2.86,0.95,1.645,7
FOODS_3_260,CA_1,0.16,0.63,1857,2.74,0.95,1.645,7
HOUSEHOLD_1_100,CA_4,0.37,0.62,1857,2.71,0.95,1.645,7
HOBBIES_1_022,CA_1,0.33,0.62,1857,2.7,0.95,1.645,7
FOODS_2_035,WI_1,0.25,0.6,1857,2.62,0.95,1.645,7
HOBBIES_1_022,TX_3,0.29,0.58,1857,2.52,0.95,1.645,7
HOBBIES_2_041,CA_1,0.14,0.56,1857,2.44,0.95,1.645,7
HOBBIES_1_022,TX_1,0.25,0.54,1857,2.34,0.95,1.645,7
HOUSEHOLD_1_489,WI_2,0.16,0.53,1857,2.31,0.95,1.645,7
HOUSEHOLD_1_489,WI_3,0.16,0.53,1857,2.31,0.95,1.645,7
FOODS_3_260,WI_1,0.12,0.53,1857,2.29,0.95,1.645,7
HOUSEHOLD_1_489,CA_4,0.15,0.52,1857,2.28,0.95,1.645,7
HOBBIES_2_113,CA_1,0.18,0.49,1857,2.15,0.95,1.645,7
FOODS_3_180,CA_3,0.19,0.49,1857,2.14,0.95,1.645,7
HOBBIES_2_113,CA_3,0.18,0.48,1857,2.1,0.95,1.645,7
FOODS_3_180,CA_1,0.18,0.48,1857,2.07,0.95,1.645,7
HOUSEHOLD_1_290,CA_4,0.17,0.48,1857,2.07,0.95,1.645,7
HOBBIES_2_113,TX_2,0.17,0.47,1857,2.06,0.95,1.645,7
FOODS_3_260,TX_2,0.08,0.46,1857,2.01,0.95,1.645,7
HOBBIES_2_113,TX_1,0.14,0.45,1857,1.98,0.95,1.645,7
HOUSEHOLD_1_489,WI_1,0.11,0.44,1857,1.92,0.95,1.645,7
FOODS_3_180,WI_3,0.15,0.44,1857,1.91,0.95,1.645,7
FOODS_3_180,TX_2,0.11,0.44,1857,1.9,0.95,1.645,7
HOBBIES_2_113,TX_3,0.13,0.43,1857,1.88,0.95,1.645,7
HOBBIES_2_113,WI_2,0.12,0.43,1857,1.86,0.95,1.645,7
HOBBIES_2_113,WI_1,0.14,0.42,1857,1.83,0.95,1.645,7
FOODS_3_260,CA_4,0.07,0.41,1857,1.77,0.95,1.645,7
HOBBIES_2_041,TX_1,0.07,0.4,1857,1.74,0.95,1.645,7
FOODS_3_180,CA_2,0.09,0.39,1857,1.71,0.95,1.645,7
